time (s)	det(V)
7043.150280	-1.526881	
7043.151996	-1.526769	
7043.153536	-1.526978	
7043.155229	-1.526821	
7043.156821	-1.526873	
7043.158314	-1.526950	
7043.159946	-1.527063	
7043.161465	-1.526914	
7043.163134	-1.526918	
7043.164613	-1.526898	
7043.166248	-1.526825	
7043.167728	-1.526938	
7043.169368	-1.526889	
7043.170851	-1.526881	
7043.172477	-1.526841	
7043.173970	-1.526922	
7043.175567	-1.526793	
7043.177106	-1.526930	
7043.178652	-1.526934	
7043.180211	-1.526801	
7043.181805	-1.526813	
7043.183396	-1.526833	
7043.184972	-1.526692	
7043.186583	-1.526829	
7043.188121	-1.526893	
7043.189797	-1.526519	
7043.191292	-1.526744	
7043.193003	-1.526720	
7043.194476	-1.526849	
7043.196216	-1.526720	
7043.197688	-1.526777	
7043.199397	-1.526608	
7043.200873	-1.526833	
7043.202589	-1.526644	
7043.204069	-1.526253	
7043.205856	-1.526015	
7043.207347	-1.524811	
7043.209127	-1.511783	
7043.210602	-1.523655	
7043.212362	-1.488061	
7043.213853	-1.520452	
7043.215609	-1.438210	
7043.217111	-1.519457	
7043.218854	-1.426419	
7043.220373	-1.507308	
7043.222098	-1.365531	
7043.223624	-1.474243	
7043.225336	-1.315189	
7043.226879	-1.433154	
7043.228587	-1.267913	
7043.230143	-1.424353	
7043.231832	-1.214082	
7043.233402	-1.377378	
7043.235063	-1.194239	
7043.236656	-1.343653	
7043.238309	-1.170278	
7043.239902	-1.331592	
7043.241541	-1.133286	
7043.243157	-1.290999	
7043.244787	-1.087190	
7043.246450	-1.233547	
7043.248033	-1.074610	
7043.249719	-1.190911	
7043.251298	-1.060390	
7043.252972	-1.184942	
7043.254560	-1.040687	
7043.256222	-1.116577	
7043.257788	-1.025638	
7043.259495	-1.071178	
7043.261041	-0.989455	
7043.262742	-1.017839	
7043.264270	-0.979993	
7043.265993	-1.003760	
7043.267481	-0.954244	
7043.269232	-0.928905	
7043.270721	-0.936563	
7043.272504	-0.891511	
7043.273983	-0.923701	
7043.275755	-0.823710	
7043.277232	-0.878253	
7043.279004	-0.754495	
7043.280497	-0.858152	
7043.282247	-0.736606	
7043.283751	-0.815504	
7043.285484	-0.695670	
7043.287015	-0.779588	
7043.288729	-0.660668	
7043.290259	-0.772840	
7043.291960	-0.579884	
7043.293508	-0.730970	
7043.295195	-0.526803	
7043.296758	-0.690481	
7043.298429	-0.505803	
7043.300019	-0.660108	
7043.301674	-0.467514	
7043.303276	-0.610390	
7043.304917	-0.431843	
7043.306520	-0.603365	
7043.308150	-0.378246	
7043.309760	-0.486604	
7043.311354	-0.345431	
7043.313028	-0.491140	
