time (s)	det(V)
3467.293191	-1.526849	
3467.294703	-1.526998	
3467.296422	-1.527038	
3467.297949	-1.526934	
3467.299661	-1.526918	
3467.301206	-1.526990	
3467.302927	-1.526893	
3467.304486	-1.526990	
3467.306181	-1.526922	
3467.307742	-1.527022	
3467.309416	-1.526990	
3467.310984	-1.527002	
3467.312647	-1.526930	
3467.314232	-1.526950	
3467.315862	-1.526934	
3467.317474	-1.527026	
3467.319077	-1.526926	
3467.320742	-1.526930	
3467.322341	-1.526918	
3467.324010	-1.527087	
3467.325608	-1.526994	
3467.327289	-1.526906	
3467.328865	-1.526986	
3467.330536	-1.527006	
3467.332095	-1.526869	
3467.333818	-1.526974	
3467.335380	-1.526886	
3467.337055	-1.526934	
3467.338617	-1.526990	
3467.340357	-1.527047	
3467.341871	-1.526930	
3467.343610	-1.527055	
3467.345087	-1.527002	
3467.346870	-1.526954	
3467.348352	-1.526990	
3467.350117	-1.526950	
3467.351599	-1.526958	
3467.353396	-1.526946	
3467.354880	-1.526950	
3467.356667	-1.526970	
3467.358157	-1.526982	
3467.359921	-1.526942	
3467.361427	-1.526926	
3467.363164	-1.526998	
3467.364686	-1.527006	
3467.366418	-1.526934	
3467.367946	-1.527002	
3467.369470	-1.527026	
3467.371059	-1.526942	
3467.372553	-1.526966	
3467.374188	-1.527027	
3467.375713	-1.527022	
3467.377368	-1.526962	
3467.378851	-1.526970	
3467.380499	-1.526934	
3467.381995	-1.527018	
3467.383623	-1.526962	
3467.385130	-1.526934	
3467.386768	-1.526994	
3467.388256	-1.526974	
3467.389852	-1.526938	
3467.391367	-1.526978	
3467.392934	-1.527010	
3467.394505	-1.526990	
3467.396118	-1.526886	
3467.397701	-1.526930	
3467.399290	-1.526970	
3467.400899	-1.526861	
3467.402437	-1.526990	
3467.404085	-1.526813	
3467.405561	-1.526938	
3467.407277	-1.526849	
3467.408756	-1.526861	
3467.410464	-1.526841	
3467.411940	-1.526914	
3467.413660	-1.526684	
3467.415194	-1.526801	
3467.416934	-1.526744	
3467.418416	-1.526740	
3467.420192	-1.526853	
3467.421675	-1.526354	
3467.423449	-1.524835	
3467.424929	-1.515421	
3467.426697	-1.466163	
3467.428178	-1.467303	
3467.429956	-1.302891	
3467.431464	-1.345132	
3467.433207	-1.193075	
3467.434713	-1.256569	
3467.436452	-1.095706	
3467.437970	-1.137862	
3467.439686	-0.964081	
3467.441227	-1.023551	
3467.442924	-0.835791	
3467.444479	-0.890596	
3467.446167	-0.688882	
3467.447736	-0.760957	
3467.449406	-0.540140	
3467.450986	-0.676418	
3467.452636	-0.420249	
3467.454227	-0.540386	
3467.455855	-0.324549	
3467.457472	-0.425656	
3467.459091	-0.214056	
3467.460738	-0.290771	
3467.462339	-0.100002	
3467.464007	-0.184335	
3467.465613	0.004658	
3467.467282	-0.040661	
3467.468855	0.122321	
3467.470547	0.058222	
3467.472115	0.207331	
3467.473818	0.180490	
3467.475388	0.258651	
3467.477085	0.300699	
3467.478648	0.372423	
3467.480345	0.403292	
3467.481905	0.429287	
3467.483618	0.474920	
3467.485110	0.522680	
3467.486891	0.566206	
3467.488375	0.588084	
3467.490144	0.666144	
3467.491627	0.659989	
3467.493381	0.763231	
3467.494863	0.724893	
3467.496648	0.895460	
3467.498141	0.872410	
3467.499891	0.986911	
3467.501397	0.901313	
3467.503127	1.081134	
3467.504645	0.968590	
3467.506387	1.171473	
3467.507919	1.107314	
3467.509637	1.275327	
3467.511178	1.184428	
3467.512879	1.382069	
3467.514425	1.270010	
3467.516105	1.487136	
3467.517681	1.399778	
3467.519338	1.594197	
3467.520927	1.486745	
3467.522575	1.672419	
3467.524182	1.631849	
3467.525833	1.712621	
3467.527441	1.708126	
3467.529073	1.724625	
3467.530707	1.727208	
3467.532189	1.727034	
3467.533768	1.727442	
3467.535257	1.727691	
3467.536903	1.728001	
3467.538382	1.727518	
3467.540023	1.728054	
3467.541498	1.727884	
3467.543105	1.728022	
3467.544641	1.727796	
3467.546191	1.727997	
3467.547806	1.727893	
3467.549301	1.727868	
3467.550949	1.727913	
3467.552441	1.727953	
3467.554068	1.728094	
3467.555594	1.727820	
3467.557236	1.727901	
3467.558710	1.728058	
3467.560431	1.727889	
3467.561903	1.728179	
3467.563606	1.728054	
3467.565089	1.728042	
3467.566796	1.728179	
3467.568295	1.728126	
3467.569997	1.728155	
3467.571495	1.727969	
3467.573180	1.728171	
3467.574681	1.727989	
3467.576317	1.728243	
3467.577857	1.728029	
3467.579566	1.728291	
3467.581123	1.728090	
3467.582825	1.728179	
3467.584399	1.728038	
3467.586092	1.728291	
3467.587678	1.728098	
3467.589352	1.728279	
3467.590918	1.728062	
3467.592575	1.728279	
3467.594167	1.728042	
3467.595818	1.728199	
3467.597444	1.728038	
3467.599063	1.728324	
3467.600697	1.727897	
3467.602311	1.728348	
3467.603960	1.728046	
3467.605564	1.728312	
3467.607226	1.728191	
3467.608797	1.728243	
3467.610492	1.728086	
3467.612045	1.728299	
3467.613769	1.728179	
3467.615320	1.728199	
3467.617028	1.727973	
3467.618572	1.728191	
3467.620276	1.728179	
3467.621771	1.728175	
3467.623574	1.728158	
3467.625057	1.728098	
3467.626836	1.728086	
3467.628319	1.728287	
3467.630084	1.728098	
3467.631560	1.728203	
3467.633349	1.728219	
3467.634842	1.728138	
3467.636598	1.728118	
3467.638090	1.728183	
3467.639820	1.728163	
3467.641332	1.728114	
3467.643067	1.728134	
3467.644592	1.728098	
3467.646305	1.728223	
3467.647860	1.728070	
3467.649573	1.728235	
3467.651132	1.728017	
3467.652826	1.728311	
3467.654394	1.728082	
3467.656075	1.728122	
3467.657647	1.728114	
3467.659307	1.728328	
3467.660890	1.727969	
3467.662527	1.728279	
3467.664153	1.728046	
3467.665784	1.728344	
3467.667405	1.728018	
3467.669031	1.728243	
3467.670674	1.728005	
3467.672267	1.728215	
3467.673934	1.727993	
3467.675518	1.728195	
3467.677199	1.727973	
3467.678763	1.728138	
3467.680452	1.728042	
3467.682017	1.728114	
3467.683717	1.728078	
3467.685289	1.728138	
3467.687015	1.727985	
3467.688540	1.728159	
3467.690274	1.728130	
3467.691761	1.728005	
3467.693321	1.727945	
3467.694839	1.727981	
3467.696424	1.728086	
3467.697977	1.727961	
3467.699528	1.728058	
3467.701144	1.727993	
3467.702627	1.728054	
3467.704284	1.728054	
3467.705777	1.728026	
3467.707413	1.727905	
3467.708941	1.728058	
3467.710573	1.727921	
3467.712051	1.728022	
3467.713686	1.728022	
3467.715169	1.727929	
3467.716812	1.728054	
3467.718302	1.727860	
3467.720014	1.728098	
3467.721512	1.727856	
3467.723198	1.728018	
3467.724706	1.727756	
3467.726372	1.727824	
3467.727891	1.727776	
3467.729533	1.727723	
3467.731085	1.727522	
3467.732690	1.727381	
3467.734289	1.727510	
3467.735846	1.727901	
3467.737458	1.727470	
3467.739075	1.728203	
3467.740711	1.724779	
3467.742323	1.728110	
3467.743979	1.700037	
3467.745573	1.707908	
3467.747232	1.636623	
3467.748817	1.664294	
3467.750506	1.584315	
3467.752069	1.627882	
3467.753792	1.482532	
3467.755336	1.507564	
3467.757037	1.439453	
3467.758587	1.431255	
3467.760287	1.399552	
3467.761841	1.420306	
3467.763580	1.374774	
3467.765069	1.288552	
3467.766850	1.295170	
3467.768326	1.263165	
3467.770102	1.247048	
3467.771589	1.210092	
3467.773372	1.242190	
3467.774860	1.152584	
3467.776653	1.173447	
3467.778127	1.083526	
3467.779877	1.176005	
3467.781370	1.078096	
3467.783114	1.146211	
3467.784627	1.020387	
3467.786353	1.131359	
3467.787883	0.941488	
3467.789598	1.104764	
3467.791155	0.955184	
3467.792855	1.097916	
3467.794394	0.926229	
3467.796083	1.100353	
3467.797642	0.901418	
3467.799303	1.060392	
3467.800885	0.888548	
3467.802525	1.058893	
3467.804125	0.910357	
3467.805746	1.008032	
3467.807373	0.899730	
3467.808999	1.006449	
3467.810643	0.888749	
3467.812238	0.978633	
3467.813907	0.878505	
3467.815497	0.951639	
3467.817198	0.855935	
3467.818768	0.947365	
3467.820465	0.853896	
3467.822030	0.907586	
3467.823682	0.869192	
3467.825240	0.901217	
3467.826947	0.844264	
3467.828443	0.883279	
3467.830197	0.850295	
3467.831683	0.821355	
3467.833474	0.863419	
3467.834953	0.833835	
3467.836742	0.834166	
3467.838226	0.763134	
3467.840012	0.791135	
3467.841506	0.777350	
3467.843309	0.818850	
3467.844792	0.709050	
3467.846548	0.806044	
3467.848060	0.699047	
3467.849799	0.757925	
3467.851308	0.633015	
3467.853037	0.746473	
3467.854562	0.605784	
3467.856084	0.588704	
3467.857694	0.600555	
3467.859189	0.561372	
3467.860821	0.588958	
3467.862345	0.540151	
3467.863990	0.540138	
3467.865482	0.462980	
3467.867118	0.538096	
3467.868610	0.442689	
3467.870232	0.516552	
3467.871732	0.392597	
3467.873384	0.490590	
3467.874865	0.399485	
3467.876462	0.446488	
3467.877980	0.368407	
3467.879550	0.429235	
3467.881109	0.360810	
3467.882738	0.455334	
3467.884327	0.324861	
3467.885906	0.396126	
3467.887515	0.300010	
3467.889064	0.380810	
3467.890696	0.253902	
3467.892169	0.292389	
3467.893893	0.258974	
3467.895371	0.278249	
3467.897088	0.254998	
3467.898563	0.217180	
3467.900276	0.221522	
3467.901764	0.177489	
3467.903466	0.240081	
3467.904956	0.197099	
3467.906748	0.238614	
3467.908224	0.193868	
3467.910010	0.231307	
3467.911485	0.131006	
3467.913257	0.220036	
3467.914745	0.124754	
3467.916494	0.226082	
3467.918019	0.064788	
3467.919781	0.207057	
3467.921294	0.100008	
3467.923038	0.205433	
3467.924560	0.071077	
3467.926277	0.213953	
3467.927820	0.044542	
3467.929528	0.228789	
3467.931080	0.068350	
3467.932787	0.211399	
3467.934347	0.011329	
